complex_id	complex_name	protein_id
1005	RC complex during G2/M-phase of cell cycle	P35244
1005	RC complex during G2/M-phase of cell cycle	P11387
1007	CAK core complex (Cdk-activating kinase core complex)	P51946
1007	CAK core complex (Cdk-activating kinase core complex)	P50613
1008	CAK complex (Cdk-activating kinase complex)	P51946
1008	CAK complex (Cdk-activating kinase complex)	P50613
1008	CAK complex (Cdk-activating kinase complex)	P51948
1009	TFIIH transcription factor complex	P51946
1009	TFIIH transcription factor complex	P50613
1009	TFIIH transcription factor complex	P18074
1009	TFIIH transcription factor complex	P19447
1009	TFIIH transcription factor complex	P32780
1009	TFIIH transcription factor complex	Q13888
1009	TFIIH transcription factor complex	Q13889
1009	TFIIH transcription factor complex	Q92759
1009	TFIIH transcription factor complex	Q6ZYL4
1009	TFIIH transcription factor complex	P51948
1010	CAK complex (Cdk-activating kinase complex)	P51946
1010	CAK complex (Cdk-activating kinase complex)	P50613
1010	CAK complex (Cdk-activating kinase complex)	P51948
1028	HNF4A-SUB1 complex	P41235
1028	HNF4A-SUB1 complex	P53999
1029	TFIIH transcription factor complex	P51946
1029	TFIIH transcription factor complex	P50613
1029	TFIIH transcription factor complex	P18074
1029	TFIIH transcription factor complex	P19447
1029	TFIIH transcription factor complex	P32780
1029	TFIIH transcription factor complex	Q13888
1029	TFIIH transcription factor complex	Q13889
1029	TFIIH transcription factor complex	Q92759
1029	TFIIH transcription factor complex	Q6ZYL4
1029	TFIIH transcription factor complex	P51948
103	RNA polymerase II holoenzyme complex	P18074
103	RNA polymerase II holoenzyme complex	P19447
103	RNA polymerase II holoenzyme complex	Q00403
103	RNA polymerase II holoenzyme complex	P29083
103	RNA polymerase II holoenzyme complex	P29084
103	RNA polymerase II holoenzyme complex	P35269
103	RNA polymerase II holoenzyme complex	P13984
103	RNA polymerase II holoenzyme complex	P32780
103	RNA polymerase II holoenzyme complex	Q13888
103	RNA polymerase II holoenzyme complex	Q13889
103	RNA polymerase II holoenzyme complex	Q92759
103	RNA polymerase II holoenzyme complex	P24928
103	RNA polymerase II holoenzyme complex	P30876
103	RNA polymerase II holoenzyme complex	P19387
103	RNA polymerase II holoenzyme complex	O15514
103	RNA polymerase II holoenzyme complex	P19388
103	RNA polymerase II holoenzyme complex	P61218
103	RNA polymerase II holoenzyme complex	P62487
103	RNA polymerase II holoenzyme complex	P52434
103	RNA polymerase II holoenzyme complex	P36954
103	RNA polymerase II holoenzyme complex	P52435
103	RNA polymerase II holoenzyme complex	P53803
103	RNA polymerase II holoenzyme complex	P62875
103	RNA polymerase II holoenzyme complex	P20226
1030	CAK-ERCC2 complex	P51946
1030	CAK-ERCC2 complex	P50613
1030	CAK-ERCC2 complex	P18074
1030	CAK-ERCC2 complex	P51948
1031	ORC complex (origin recognition complex)	Q13415
1031	ORC complex (origin recognition complex)	Q13416
1031	ORC complex (origin recognition complex)	Q9UBD5
1031	ORC complex (origin recognition complex)	O43929
1031	ORC complex (origin recognition complex)	O43913
1031	ORC complex (origin recognition complex)	Q9Y5N6
1032	ORC 2-4 complex (origin recognition 2-4 complex)	Q13416
1032	ORC 2-4 complex (origin recognition 2-4 complex)	Q9UBD5
1032	ORC 2-4 complex (origin recognition 2-4 complex)	O43929
1033	ORC complex (origin recognition complex)	Q13415
1033	ORC complex (origin recognition complex)	Q13416
1033	ORC complex (origin recognition complex)	Q9UBD5
1033	ORC complex (origin recognition complex)	O43929
1033	ORC complex (origin recognition complex)	O43913
1033	ORC complex (origin recognition complex)	Q9Y5N6
1034	ORC 2-5 complex (origin recognition 2-5 complex)	Q13416
1034	ORC 2-5 complex (origin recognition 2-5 complex)	Q9UBD5
1034	ORC 2-5 complex (origin recognition 2-5 complex)	O43929
1034	ORC 2-5 complex (origin recognition 2-5 complex)	O43913
1036	TFIIH transcription factor complex	P51946
1036	TFIIH transcription factor complex	P50613
1036	TFIIH transcription factor complex	P18074
1036	TFIIH transcription factor complex	P19447
1036	TFIIH transcription factor complex	P32780
1036	TFIIH transcription factor complex	Q13888
1036	TFIIH transcription factor complex	Q13889
1036	TFIIH transcription factor complex	Q92759
1036	TFIIH transcription factor complex	P51948
1037	TFIIH transcription factor core complex	P19447
1037	TFIIH transcription factor core complex	P32780
1037	TFIIH transcription factor core complex	Q13888
1037	TFIIH transcription factor core complex	Q13889
1037	TFIIH transcription factor core complex	Q92759
1038	ORC 1-5 complex (origin recognition 1-5 complex)	Q13415
1038	ORC 1-5 complex (origin recognition 1-5 complex)	Q13416
1038	ORC 1-5 complex (origin recognition 1-5 complex)	Q9UBD5
1038	ORC 1-5 complex (origin recognition 1-5 complex)	O43929
1038	ORC 1-5 complex (origin recognition 1-5 complex)	O43913
1039	PCNA-PAF complex	Q15004
1039	PCNA-PAF complex	P12004
104	RNA polymerase II core complex	P24928
104	RNA polymerase II core complex	P30876
104	RNA polymerase II core complex	P19387
104	RNA polymerase II core complex	O15514
104	RNA polymerase II core complex	P19388
104	RNA polymerase II core complex	P61218
104	RNA polymerase II core complex	P62487
104	RNA polymerase II core complex	P52434
104	RNA polymerase II core complex	P36954
104	RNA polymerase II core complex	P52435
104	RNA polymerase II core complex	P53803
104	RNA polymerase II core complex	P62875
1040	p33ING1b-PCNA complex	Q9UK53
1040	p33ING1b-PCNA complex	Q15004
1042	SRA-SRC-1 ribonucleoprotein complex	Q15788
1042	SRA-SRC-1 ribonucleoprotein complex	Q9HD15
1045	Snurportin-CRM1-RanGTP complex	P62826
1045	Snurportin-CRM1-RanGTP complex	O95149
1045	Snurportin-CRM1-RanGTP complex	O14980
105	Polycomb repressive complex 2 (PRC 2)	O75530
105	Polycomb repressive complex 2 (PRC 2)	Q15910
105	Polycomb repressive complex 2 (PRC 2)	Q09028
105	Polycomb repressive complex 2 (PRC 2)	Q16576
105	Polycomb repressive complex 2 (PRC 2)	Q15022
1051	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	Q13616
1051	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	P62877
1051	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	P63208
1051	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	Q13309
1052	Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	Q13616
1052	Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	Q9UKB1
1052	Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	P62877
1052	Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	P63208
1054	ESR1-RELA-BCL3-NCOA3 complex	P20749
1054	ESR1-RELA-BCL3-NCOA3 complex	P03372
1054	ESR1-RELA-BCL3-NCOA3 complex	Q9Y6Q9
1054	ESR1-RELA-BCL3-NCOA3 complex	Q04206
1055	ZNF198-PML complex	P29590
1055	ZNF198-PML complex	Q9UBW7
1056	ZNF198-SUMO1 complex	P63165
1056	ZNF198-SUMO1 complex	Q9UBW7
1057	DIPA-MCRS1 complex	Q15834
1057	DIPA-MCRS1 complex	Q96EZ8
1058	SNX complex (SNX1, SNX6)	Q13596
1058	SNX complex (SNX1, SNX6)	Q9UNH7
1059	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	Q13596
1059	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	O60749
1059	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	O75436
1059	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	Q9UBQ0
1059	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	Q96QK1
1060	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	Q13596
1060	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	O60749
1060	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	Q4G0F5
1060	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	Q9UBQ0
1060	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	Q96QK1
1062	BAR-BCL2-CASP8 complex	P10415
1062	BAR-BCL2-CASP8 complex	Q9NZS9
1062	BAR-BCL2-CASP8 complex	Q14790
1063	GRASP-GRP1 complex	Q7Z6J2
1063	GRASP-GRP1 complex	O43739
1064	IFP35-NMI complex	P80217
1064	IFP35-NMI complex	Q13287
1067	CD8A-LCK complex	P01732
1067	CD8A-LCK complex	P06239
1068	12S U11 snRNP	Q9BV90
1068	12S U11 snRNP	Q6IEG0
1068	12S U11 snRNP	Q8N8D1
1068	12S U11 snRNP	Q9H875
1068	12S U11 snRNP	Q16629
1068	12S U11 snRNP	P14678
1068	12S U11 snRNP	P62314
1068	12S U11 snRNP	P62316
1068	12S U11 snRNP	P62318
1068	12S U11 snRNP	P62304
1068	12S U11 snRNP	P62306
1068	12S U11 snRNP	P62308
1068	12S U11 snRNP	Q96GM8
1068	12S U11 snRNP	Q16560
1068	12S U11 snRNP	P67809
1069	FIF-FGR2 complex	Q9BZZ5
1069	FIF-FGR2 complex	P09038
107	TFIIH transcription factor complex	P51946
107	TFIIH transcription factor complex	P50613
107	TFIIH transcription factor complex	P18074
107	TFIIH transcription factor complex	P19447
107	TFIIH transcription factor complex	P32780
107	TFIIH transcription factor complex	Q13888
107	TFIIH transcription factor complex	Q13889
107	TFIIH transcription factor complex	Q92759
107	TFIIH transcription factor complex	P51948
1070	SNX complex (SNX1a, SNX2, SNX4)	Q13596
1070	SNX complex (SNX1a, SNX2, SNX4)	O60749
1070	SNX complex (SNX1a, SNX2, SNX4)	O95219
1071	PKD2-FPC complex	Q13563
1071	PKD2-FPC complex	Q8TCZ9
1072	SNX complex (SNX2), oligomeric	O60749
1078	MSH2-MSH6 complex	P43246
1078	MSH2-MSH6 complex	P52701
1079	P-TEFb.1 complex	O60563
1079	P-TEFb.1 complex	P50750
1080	P-TEFb.2 complex	O60583
1080	P-TEFb.2 complex	P50750
1081	MRN complex (MRE11-RAD50-NBN complex)	P49959
1081	MRN complex (MRE11-RAD50-NBN complex)	O60934
1081	MRN complex (MRE11-RAD50-NBN complex)	Q92878
1082	P-TEFb.1 complex	O60563
1082	P-TEFb.1 complex	P50750
1083	P-TEFb.4 complex	O75909
1083	P-TEFb.4 complex	P50750
1085	DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P49916
1085	DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	Q969S2
1085	DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	O00764
1085	DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P06746
1085	DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P18887
1086	DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P49916
1086	DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	Q96FI4
1086	DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	O00764
1086	DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P06746
1086	DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P18887
1087	BIRC5-AURKB-INCENP-EVI5 complex	Q96GD4
1087	BIRC5-AURKB-INCENP-EVI5 complex	O15392
1087	BIRC5-AURKB-INCENP-EVI5 complex	O60447
1087	BIRC5-AURKB-INCENP-EVI5 complex	Q9NQS7
1088	PRNP-ApolopoproteinE3 complex	Q13791
1088	PRNP-ApolopoproteinE3 complex	P04156
1089	VAM1-VELI1 complex	O14910
1089	VAM1-VELI1 complex	Q9NZW5
1090-1	APLG1-Rababtin5 complex-1	O43747
1090-1	APLG1-Rababtin5 complex-1	Q15276
1090-2	APLG1-Rababtin5 complex-2	O43747
1090-2	APLG1-Rababtin5 complex-2	Q9H5N1
1091	SNX complex (SNX1a, SNX2, SNX4, LEPR)	P48357
1091	SNX complex (SNX1a, SNX2, SNX4, LEPR)	Q13596
1091	SNX complex (SNX1a, SNX2, SNX4, LEPR)	O60749
1091	SNX complex (SNX1a, SNX2, SNX4, LEPR)	O95219
1092	PCNA-KU antigen complex	P12004
1092	PCNA-KU antigen complex	P13010
1092	PCNA-KU antigen complex	P12956
1093	SNX complex (SNX1a, SNX2, SNX4, INSR)	P06213
1093	SNX complex (SNX1a, SNX2, SNX4, INSR)	Q13596
1093	SNX complex (SNX1a, SNX2, SNX4, INSR)	O60749
1093	SNX complex (SNX1a, SNX2, SNX4, INSR)	O95219
1095	SNX complex (SNX1a, SNX2, SNX4, EGFR)	P00533
1095	SNX complex (SNX1a, SNX2, SNX4, EGFR)	Q13596
1095	SNX complex (SNX1a, SNX2, SNX4, EGFR)	O60749
1095	SNX complex (SNX1a, SNX2, SNX4, EGFR)	O95219
1096	SNX complex (SNX1,1a,2,4, PDGF receptor)	P16234
1096	SNX complex (SNX1,1a,2,4, PDGF receptor)	Q13596
1096	SNX complex (SNX1,1a,2,4, PDGF receptor)	O60749
1096	SNX complex (SNX1,1a,2,4, PDGF receptor)	O95219
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q14152
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	P55884
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q99613
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	O15371
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	P60228
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q9Y262
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	O00303
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	O75821
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	O15372
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q13347
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	O75822
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q9UBQ5
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q7L2H7
1098-1	DNA synthesome complex (13 subunits)-1	P12004
1098-1	DNA synthesome complex (13 subunits)-1	P09884
1098-1	DNA synthesome complex (13 subunits)-1	Q14181
1098-1	DNA synthesome complex (13 subunits)-1	P28340
1098-1	DNA synthesome complex (13 subunits)-1	P49005
1098-1	DNA synthesome complex (13 subunits)-1	Q15054
1098-1	DNA synthesome complex (13 subunits)-1	Q9HCU8
1098-1	DNA synthesome complex (13 subunits)-1	P49642
1098-1	DNA synthesome complex (13 subunits)-1	P49643
1098-1	DNA synthesome complex (13 subunits)-1	P35251
1098-1	DNA synthesome complex (13 subunits)-1	P27694
1098-1	DNA synthesome complex (13 subunits)-1	P11387
1098-1	DNA synthesome complex (13 subunits)-1	P11388
1098-2	DNA synthesome complex (13 subunits)-2	P12004
1098-2	DNA synthesome complex (13 subunits)-2	P09884
1098-2	DNA synthesome complex (13 subunits)-2	Q14181
1098-2	DNA synthesome complex (13 subunits)-2	P28340
1098-2	DNA synthesome complex (13 subunits)-2	P49005
1098-2	DNA synthesome complex (13 subunits)-2	Q15054
1098-2	DNA synthesome complex (13 subunits)-2	Q9HCU8
1098-2	DNA synthesome complex (13 subunits)-2	P49642
1098-2	DNA synthesome complex (13 subunits)-2	P49643
1098-2	DNA synthesome complex (13 subunits)-2	P35251
1098-2	DNA synthesome complex (13 subunits)-2	P27694
1098-2	DNA synthesome complex (13 subunits)-2	P11387
1098-2	DNA synthesome complex (13 subunits)-2	Q02880
1099-1	DNA synthesome complex (17 subunits)-1	P12004
1099-1	DNA synthesome complex (17 subunits)-1	P09884
1099-1	DNA synthesome complex (17 subunits)-1	Q14181
1099-1	DNA synthesome complex (17 subunits)-1	P28340
1099-1	DNA synthesome complex (17 subunits)-1	P49005
1099-1	DNA synthesome complex (17 subunits)-1	Q15054
1099-1	DNA synthesome complex (17 subunits)-1	Q9HCU8
1099-1	DNA synthesome complex (17 subunits)-1	Q07864
1099-1	DNA synthesome complex (17 subunits)-1	P56282
1099-1	DNA synthesome complex (17 subunits)-1	Q9NRF9
1099-1	DNA synthesome complex (17 subunits)-1	Q9NR33
1099-1	DNA synthesome complex (17 subunits)-1	P49642
1099-1	DNA synthesome complex (17 subunits)-1	P49643
1099-1	DNA synthesome complex (17 subunits)-1	P35251
1099-1	DNA synthesome complex (17 subunits)-1	P27694
1099-1	DNA synthesome complex (17 subunits)-1	P11387
1099-1	DNA synthesome complex (17 subunits)-1	P11388
1099-2	DNA synthesome complex (17 subunits)-2	P12004
1099-2	DNA synthesome complex (17 subunits)-2	P09884
1099-2	DNA synthesome complex (17 subunits)-2	Q14181
1099-2	DNA synthesome complex (17 subunits)-2	P28340
1099-2	DNA synthesome complex (17 subunits)-2	P49005
1099-2	DNA synthesome complex (17 subunits)-2	Q15054
1099-2	DNA synthesome complex (17 subunits)-2	Q9HCU8
1099-2	DNA synthesome complex (17 subunits)-2	Q07864
1099-2	DNA synthesome complex (17 subunits)-2	P56282
1099-2	DNA synthesome complex (17 subunits)-2	Q9NRF9
1099-2	DNA synthesome complex (17 subunits)-2	Q9NR33
1099-2	DNA synthesome complex (17 subunits)-2	P49642
1099-2	DNA synthesome complex (17 subunits)-2	P49643
1099-2	DNA synthesome complex (17 subunits)-2	P35251
1099-2	DNA synthesome complex (17 subunits)-2	P27694
1099-2	DNA synthesome complex (17 subunits)-2	P11387
1099-2	DNA synthesome complex (17 subunits)-2	Q02880
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Q92902
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Q9NQG7
1100	DNA polymerase alpha-primase complex	P09884
1100	DNA polymerase alpha-primase complex	Q14181
1100	DNA polymerase alpha-primase complex	P49642
1100	DNA polymerase alpha-primase complex	P49643
1101	TFIIIC containing complex TFIIIC2	Q12789
1101	TFIIIC containing complex TFIIIC2	Q8WUA4
1101	TFIIIC containing complex TFIIIC2	Q9Y5Q9
1101	TFIIIC containing complex TFIIIC2	Q9UKN8
1101	TFIIIC containing complex TFIIIC2	Q9Y5Q8
1104	SNX complex (SNX1a, SNX2, SNX4, TFRC)	Q13596
1104	SNX complex (SNX1a, SNX2, SNX4, TFRC)	O60749
1104	SNX complex (SNX1a, SNX2, SNX4, TFRC)	O95219
1104	SNX complex (SNX1a, SNX2, SNX4, TFRC)	P02786
1105	TFIIIC containing complex	Q12789
1105	TFIIIC containing complex	Q8WUA4
1105	TFIIIC containing complex	Q9Y5Q9
1105	TFIIIC containing complex	Q9UKN8
1105	TFIIIC containing complex	Q9Y5Q8
1106	TFIIIC containing-TOP1-SUB1 complex	Q12789
1106	TFIIIC containing-TOP1-SUB1 complex	Q8WUA4
1106	TFIIIC containing-TOP1-SUB1 complex	Q9Y5Q9
1106	TFIIIC containing-TOP1-SUB1 complex	Q9UKN8
1106	TFIIIC containing-TOP1-SUB1 complex	Q9Y5Q8
1106	TFIIIC containing-TOP1-SUB1 complex	P53999
1106	TFIIIC containing-TOP1-SUB1 complex	P11387
1107	DNA synthesome core complex	P12004
1107	DNA synthesome core complex	P09884
1107	DNA synthesome core complex	Q14181
1107	DNA synthesome core complex	P28340
1107	DNA synthesome core complex	P49005
1107	DNA synthesome core complex	Q15054
1107	DNA synthesome core complex	Q9HCU8
1107	DNA synthesome core complex	P49642
1107	DNA synthesome core complex	P49643
1107	DNA synthesome core complex	P35251
1108	DNA synthesome complex (15 subunits)	P18858
1108	DNA synthesome complex (15 subunits)	P12004
1108	DNA synthesome complex (15 subunits)	P09884
1108	DNA synthesome complex (15 subunits)	Q14181
1108	DNA synthesome complex (15 subunits)	P28340
1108	DNA synthesome complex (15 subunits)	P49005
1108	DNA synthesome complex (15 subunits)	Q15054
1108	DNA synthesome complex (15 subunits)	Q9HCU8
1108	DNA synthesome complex (15 subunits)	Q07864
1108	DNA synthesome complex (15 subunits)	P56282
1108	DNA synthesome complex (15 subunits)	Q9NRF9
1108	DNA synthesome complex (15 subunits)	Q9NR33
1108	DNA synthesome complex (15 subunits)	P49642
1108	DNA synthesome complex (15 subunits)	P49643
1108	DNA synthesome complex (15 subunits)	P35251
1111-1	DNA synthesome complex (17 subunits)-1	P12004
1111-1	DNA synthesome complex (17 subunits)-1	P09884
1111-1	DNA synthesome complex (17 subunits)-1	Q14181
1111-1	DNA synthesome complex (17 subunits)-1	P28340
1111-1	DNA synthesome complex (17 subunits)-1	P49005
1111-1	DNA synthesome complex (17 subunits)-1	Q15054
1111-1	DNA synthesome complex (17 subunits)-1	Q9HCU8
1111-1	DNA synthesome complex (17 subunits)-1	Q07864
1111-1	DNA synthesome complex (17 subunits)-1	P56282
1111-1	DNA synthesome complex (17 subunits)-1	Q9NRF9
1111-1	DNA synthesome complex (17 subunits)-1	Q9NR33
1111-1	DNA synthesome complex (17 subunits)-1	P49642
1111-1	DNA synthesome complex (17 subunits)-1	P49643
1111-1	DNA synthesome complex (17 subunits)-1	P35251
1111-1	DNA synthesome complex (17 subunits)-1	P27694
1111-1	DNA synthesome complex (17 subunits)-1	P11387
1111-1	DNA synthesome complex (17 subunits)-1	P11388
1111-2	DNA synthesome complex (17 subunits)-2	P12004
1111-2	DNA synthesome complex (17 subunits)-2	P09884
1111-2	DNA synthesome complex (17 subunits)-2	Q14181
1111-2	DNA synthesome complex (17 subunits)-2	P28340
1111-2	DNA synthesome complex (17 subunits)-2	P49005
1111-2	DNA synthesome complex (17 subunits)-2	Q15054
1111-2	DNA synthesome complex (17 subunits)-2	Q9HCU8
1111-2	DNA synthesome complex (17 subunits)-2	Q07864
1111-2	DNA synthesome complex (17 subunits)-2	P56282
1111-2	DNA synthesome complex (17 subunits)-2	Q9NRF9
1111-2	DNA synthesome complex (17 subunits)-2	Q9NR33
1111-2	DNA synthesome complex (17 subunits)-2	P49642
1111-2	DNA synthesome complex (17 subunits)-2	P49643
1111-2	DNA synthesome complex (17 subunits)-2	P35251
1111-2	DNA synthesome complex (17 subunits)-2	P27694
1111-2	DNA synthesome complex (17 subunits)-2	P11387
1111-2	DNA synthesome complex (17 subunits)-2	Q02880
1113	5S-DNA-TFIIIA-TFIIIC2 subcomplex	Q92664
1113	5S-DNA-TFIIIA-TFIIIC2 subcomplex	Q12789
1113	5S-DNA-TFIIIA-TFIIIC2 subcomplex	Q8WUA4
1113	5S-DNA-TFIIIA-TFIIIC2 subcomplex	Q9Y5Q9
1113	5S-DNA-TFIIIA-TFIIIC2 subcomplex	Q9UKN8
1113	5S-DNA-TFIIIA-TFIIIC2 subcomplex	Q9Y5Q8
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	A6H8Y1
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	Q92994
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	Q92664
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	Q12789
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	Q8WUA4
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	Q9Y5Q9
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	Q9UKN8
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	Q9Y5Q8
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	P20226
1116	CRM1-Survivin-AuroraB mitotic complex	Q96GD4
1116	CRM1-Survivin-AuroraB mitotic complex	O15392
1116	CRM1-Survivin-AuroraB mitotic complex	O14980
1117	CRM1-Survivin mitotic complex	O15392
1117	CRM1-Survivin mitotic complex	O14980
1118	Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)	Q96GD4
1118	Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)	O15392
